,G,p,budget,from_cache,method,trial_id,I_size,v1_size,v2_size,num_cross_edges,maxD,mip_value,min_exposed_value,duration,v1_objective,greedy_overlap
118,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,mip_gurobi,1,5490,22977,15421,37672,21,242.44148920952614,432.4,5.094969486002809,4027.535454871651,48
119,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ob5.json,random,0,560,8915,38066,100440,60,405.0537846946685,791.6,3.190513728972292,1025.297639402596,1
120,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,mip_gurobi,0,5490,22977,15421,37672,21,242.44148920952614,442.4,4.1835002310108385,4027.535454871651,48
121,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ob5.json,random,1,560,8915,38066,100440,60,404.01592222622793,821.6,2.734268795000389,1025.297639402596,1
122,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ob5.json,greedy_weighted,0,560,8915,38066,100440,60,363.8715529489354,748.0,0.11273845200776125,1025.297639402596,-1
123,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ob5.json,dependent,0,560,8915,38066,100440,60,366.7082953364517,755.4,5.11050787998829,1025.297639402596,58
124,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ob5.json,greedy_weighted,1,560,8915,38066,100440,60,363.8715529489354,749.2,0.09718003100715578,1025.297639402596,-1
125,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ob5.json,dependent,1,560,8915,38066,100440,60,365.9837284679245,759.6,6.000997696013656,1025.297639402596,61
126,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/oa12.json,random,1,3800,16137,14605,30251,24,192.40833253395905,318.0,1.1595694230054503,2339.671110116989,0
127,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/oa12.json,random,0,3800,16137,14605,30251,24,192.36688705158988,301.0,1.378975116997026,2339.671110116989,0
