,G,p,method,budget,from_cache,value,isOptimal,maxD,duration,I_size
6702,montgomery,0.078,weighted,600,aa15.json,550.6574231418404,-1,24,0.977886438369751,1158
6703,montgomery,0.078,weighted,600,tb5.json,1757.3633477440778,-1,55,4.237857103347778,877
6704,montgomery,0.078,weighted,600,rb10.json,4114.795615411338,-1,28,7.358816623687744,5550
6705,montgomery,0.078,weighted,600,rb10.json,4114.795615411338,-1,28,7.320647001266479,5550
6706,montgomery,0.078,weighted,600,hb7.json,4581.134620203063,-1,47,6.588655710220338,2887
6707,montgomery,0.078,weighted,600,hb7.json,4581.134620203063,-1,47,6.743557691574098,2887
6708,montgomery,0.078,weighted,600,wb10.json,6008.37619787415,-1,27,9.917481422424316,5767
6709,montgomery,0.078,weighted,600,wb10.json,6008.37619787415,-1,27,10.011826992034912,5767
6710,montgomery,0.078,weighted,600,eb6.json,2996.013583427854,-1,55,5.529957294464111,1623
6711,montgomery,0.078,weighted,600,la8.json,5783.236101547362,-1,35,7.059434413909912,4395
6712,montgomery,0.078,weighted,600,eb6.json,2996.013583427854,-1,55,5.244537830352783,1623
6713,montgomery,0.078,weighted,600,la8.json,5783.236101547362,-1,35,7.160023212432861,4395
6714,montgomery,0.078,weighted,600,wa12.json,1857.20051184862,-1,23,2.5891504287719727,3235
6715,montgomery,0.078,weighted,600,wa12.json,1857.20051184862,-1,23,2.6299006938934326,3235
6716,montgomery,0.078,weighted,600,tb13.json,1643.0283682982022,-1,28,2.3820717334747314,2868
6717,montgomery,0.078,weighted,600,zb8.json,5412.1666505977055,-1,37,6.983185529708862,3741
6718,montgomery,0.078,weighted,600,tb13.json,1643.0283682982022,-1,28,2.9836671352386475,2868
6719,montgomery,0.078,weighted,600,bb5.json,2024.4903492561787,-1,58,4.434539079666138,1001
6720,montgomery,0.078,weighted,600,zb8.json,5412.1666505977055,-1,37,6.954535722732544,3741
6721,montgomery,0.078,weighted,600,bb5.json,2024.4903492561787,-1,58,4.372340679168701,1001
6722,montgomery,0.078,weighted,600,fb14.json,470.1328103762143,-1,26,0.9170200824737548,972
6723,montgomery,0.078,weighted,600,fb14.json,470.1328103762143,-1,26,0.6469323635101318,972
6724,montgomery,0.078,weighted,600,ja5.json,1263.7924033058596,-1,75,2.8330199718475337,616
6725,montgomery,0.078,weighted,600,ub15.json,491.7099454187242,-1,26,0.6260573863983154,1008
6726,montgomery,0.078,weighted,600,ja5.json,1263.7924033058596,-1,75,3.217085123062134,616
6727,montgomery,0.078,weighted,600,ub15.json,491.7099454187242,-1,26,0.6639740467071533,1008
6728,montgomery,0.078,weighted,600,ma5.json,1578.372443765838,-1,60,4.216766357421875,756
6729,montgomery,0.078,weighted,600,ma5.json,1578.372443765838,-1,60,4.067499876022339,756
6730,montgomery,0.078,weighted,600,yb9.json,6010.1204527407845,-1,31,10.0652174949646,5088
6731,montgomery,0.078,weighted,600,yb9.json,6010.1204527407845,-1,31,9.69249391555786,5088
6732,montgomery,0.078,weighted,600,bb10.json,5178.395131797797,-1,25,8.453577995300293,5911
6733,montgomery,0.078,weighted,600,bb10.json,5178.395131797797,-1,25,8.596596717834473,5911
6734,montgomery,0.078,weighted,600,ra7.json,3861.580041578238,-1,49,5.8982794284820566,2223
6735,montgomery,0.078,weighted,600,ra7.json,3861.580041578238,-1,49,6.253161430358888,2223
6736,montgomery,0.078,weighted,600,bb15.json,298.61773424756564,-1,26,0.4216904640197754,635
6737,montgomery,0.078,weighted,600,kb9.json,5820.170149485956,-1,34,6.8695828914642325,4299
6738,montgomery,0.078,weighted,600,bb15.json,298.61773424756564,-1,26,0.7498760223388672,635
6739,montgomery,0.078,weighted,600,kb9.json,5820.170149485956,-1,34,7.074833631515503,4299
6740,montgomery,0.078,weighted,600,za7.json,3768.969308600887,-1,53,6.05816388130188,2243
6741,montgomery,0.078,weighted,600,za7.json,3768.969308600887,-1,53,5.756545066833496,2243
6742,montgomery,0.078,weighted,600,db16.json,218.46051411455403,-1,24,0.3465278148651123,517
6743,montgomery,0.078,weighted,600,db16.json,218.46051411455403,-1,24,0.3429288864135742,517
6744,montgomery,0.078,weighted,600,cb13.json,1463.995543749324,-1,24,2.398951292037964,2602
6745,montgomery,0.078,weighted,600,ya9.json,6103.442213135387,-1,31,9.502624988555908,5780
6746,montgomery,0.078,weighted,600,cb13.json,1463.995543749324,-1,24,2.2948102951049805,2602
6747,montgomery,0.078,weighted,600,ka5.json,1539.4911949664236,-1,59,3.5603852272033687,754
6748,montgomery,0.078,weighted,600,ta10.json,6054.597701643314,-1,30,9.534013748168944,5471
6749,montgomery,0.078,weighted,600,ka5.json,1539.4911949664236,-1,59,3.6367013454437256,754
6750,montgomery,0.078,weighted,600,ra15.json,471.0415949075664,-1,31,0.9311599731445312,945
6751,montgomery,0.078,weighted,600,ra15.json,471.0415949075664,-1,31,0.6477041244506836,945
6752,montgomery,0.078,weighted,600,ya9.json,6103.442213135387,-1,31,10.167695999145508,5780
6753,montgomery,0.078,weighted,600,ta10.json,6054.597701643314,-1,30,9.553217172622679,5471
6754,montgomery,0.078,weighted,600,ca5.json,1159.3491837604527,-1,63,3.002147674560547,559
6755,montgomery,0.078,weighted,600,wa13.json,961.296184419081,-1,24,1.5121145248413086,1814
6756,montgomery,0.078,weighted,600,ca5.json,1159.3491837604527,-1,63,3.4130127429962163,559
6757,montgomery,0.078,weighted,600,ba10.json,6053.436471020965,-1,27,9.649836301803587,5753
6758,montgomery,0.078,weighted,600,wa13.json,961.296184419081,-1,24,1.6256060600280762,1814
6759,montgomery,0.078,weighted,600,ba10.json,6053.436471020965,-1,27,10.10802936553955,5753
6760,montgomery,0.078,weighted,600,eb10.json,5185.094610360436,-1,27,8.412283897399902,5782
6761,montgomery,0.078,weighted,600,vb10.json,6036.850355061773,-1,33,9.47972059249878,5645
6762,montgomery,0.078,weighted,600,vb14.json,1145.1647858735719,-1,22,1.766869306564331,2096
6763,montgomery,0.078,weighted,600,eb10.json,5185.094610360436,-1,27,8.784679889678955,5782
6764,montgomery,0.078,weighted,600,vb14.json,1145.1647858735719,-1,22,1.7833025455474854,2096
6765,montgomery,0.078,weighted,600,vb10.json,6036.850355061773,-1,33,10.371052503585817,5645
6766,montgomery,0.078,weighted,600,aa14.json,1127.4004583561934,-1,31,1.8020596504211424,2135
6767,montgomery,0.078,weighted,600,aa14.json,1127.4004583561934,-1,31,1.7689898014068604,2135
6768,montgomery,0.078,weighted,600,fb6.json,3727.9926024283423,-1,48,6.025086164474487,2214
6769,montgomery,0.078,weighted,600,fb6.json,3727.9926024283423,-1,48,5.845639944076537,2214
6770,montgomery,0.078,weighted,600,qb14.json,1140.2935456871526,-1,25,1.7143943309783936,2086
6771,montgomery,0.078,weighted,600,qb14.json,1140.2935456871526,-1,25,1.8386695384979248,2086
6772,montgomery,0.078,weighted,600,hb14.json,663.3062952336977,-1,22,1.2271127700805664,1266
6773,montgomery,0.078,weighted,600,hb14.json,663.3062952336977,-1,22,1.3506937026977541,1266
6774,montgomery,0.078,weighted,600,lb15.json,820.8192818234007,-1,32,1.4020941257476809,1541
6775,montgomery,0.078,weighted,600,qb5.json,1249.5750735403974,-1,61,3.193709373474121,596
6776,montgomery,0.078,weighted,600,qb5.json,1249.5750735403974,-1,61,3.1616687774658203,596
6777,montgomery,0.078,weighted,600,lb15.json,820.8192818234007,-1,32,1.4087917804718018,1541
6778,montgomery,0.078,weighted,600,jb8.json,4267.246340272689,-1,46,6.165679931640625,2598
6779,montgomery,0.078,weighted,600,jb8.json,4267.246340272689,-1,46,7.2116336822509775,2598
6780,montgomery,0.078,weighted,600,da5.json,1231.4522489924552,-1,74,3.227599620819092,613
6781,montgomery,0.078,weighted,600,da5.json,1231.4522489924552,-1,74,3.140858888626098,613
6782,montgomery,0.078,weighted,600,kb10.json,6034.958468444363,-1,32,9.631579637527468,5624
6783,montgomery,0.078,weighted,600,kb10.json,6034.958468444363,-1,32,9.644747257232666,5624
