,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
73,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,greedy_weighted,1,"(877.8, 21.48720549536398)",395.36782923265235,-1,38,5181,31140,21397,79421,0.7260552419993473,6335.928249683198
74,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,random,1,"(992.8, 13.809417076763232)",428.1698442523075,4,38,5181,31140,21397,79421,6.234241005000513,6368.730264702854
75,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,mip_gurobi,0,"(181.4, 19.112822920751398)",117.05005377299909,270,31,2393,11016,13992,25342,9.072664866000196,1479.6524006044842
76,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,dependent,0,"(869.8, 32.259882206852524)",392.5726760246868,136,38,5181,31140,21397,79421,16.573646814000313,6333.133096475233
77,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,random,1,"(1226.2, 37.6988063471511)",482.2372226341677,3,40,3788,29469,26469,110302,7.0066734949996325,5458.754237419573
78,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,dependent,1,"(873.6, 31.785216689524077)",391.05639961752775,140,38,5181,31140,21397,79421,16.906565190000038,6331.616820068074
79,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,greedy_weighted,0,"(859.8, 21.902054698132773)",395.36782923265235,-1,38,5181,31140,21397,79421,0.915460202999384,6335.928249683198
80,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,greedy_weighted,1,"(183.8, 12.755391017134675)",120.32523997567301,-1,31,2393,11016,13992,25342,0.16987028699986695,1482.9275868071581
81,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,dependent,1,"(191.6, 24.22395508582362)",120.00794009050699,240,31,2393,11016,13992,25342,4.498593271999198,1482.6102869219922
82,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,mip_gurobi,1,"(1242.4, 42.34737299998667)",463.99102196909126,213,44,3014,28425,29804,130469,39.70925242900012,5006.960743888885
